customerid,transactions,price,quantity,country,date
113,"Butter, Cereal, Potatoes",10,19,Germany,2/18/2022
485,"Pasta, Bread, Cereal, Cheese",56,7,United States,5/12/2020
887,Carrots,56,10,Germany,7/3/2023
302,"Rice, Beef, Bananas, Apples",92,9,Germany,5/1/2024
786,"Cheese, Eggs, Pasta, Chicken",87,5,Australia,12/4/2022
437,"Oranges, Bananas, Potatoes, Beef",44,5,United States,8/27/2022
457,"Onions, Pasta",55,14,Germany,12/7/2021
875,"Lettuce, Beef",59,2,United Kingdom,11/24/2020
767,"Milk, Cereal, Rice",0,2,Australia,3/21/2020
265,"Butter, Carrots",61,19,United States,7/16/2022
303,"Apples, Cereal",4,8,Australia,9/19/2021
952,"Potatoes, Beef",26,3,Germany,10/3/2020
611,"Butter, Pasta, Grapes, Tomatoes",82,20,United States,7/27/2023
238,"Cheese, Butter, Rice, Potatoes",8,20,Canada,10/1/2023
98,"Grapes, Potatoes",62,6,Germany,11/27/2023
715,"Tomatoes, Butter, Fish, Bananas, Eggs",92,7,United Kingdom,1/30/2024
901,"Eggs, Potatoes, Lettuce, Carrots",59,2,Canada,10/4/2020
595,Pasta,41,17,Canada,7/10/2023
199,"Potatoes, Rice, Apples, Chicken",8,18,United States,12/16/2022
606,"Oranges, Milk, Potatoes",83,5,United States,12/7/2023
920,Rice,41,4,Canada,1/24/2021
448,"Fish, Eggs, Beef",98,6,Canada,3/12/2021
519,"Cheese, Chicken",80,6,Canada,7/23/2021
846,"Rice, Tomatoes, Bread, Potatoes, Lettuce",150,7,Australia,12/24/2023
98,"Bananas, Chicken, Tomatoes, Lettuce, Bread",25,13,Germany,9/18/2024
7,"Carrots, Cereal, Grapes, Bread, Apples",98,8,Australia,5/11/2024
383,"Onions, Grapes",58,13,United States,1/28/2023
178,"Rice, Potatoes, Fish, Tomatoes, Beef",93,4,United Kingdom,8/5/2022
653,"Butter, Carrots, Bananas, Milk",94,6,United Kingdom,12/14/2021
12,Grapes,74,16,Canada,9/15/2022
844,"Butter, Milk, Bananas",27,19,United States,4/16/2021
594,"Onions, Fish, Rice, Oranges, Carrots",5,16,Canada,5/1/2021
399,Carrots,88,15,Canada,5/29/2021
99,"Oranges, Chicken, Tomatoes, Cheese, Onions",3,18,Germany,11/4/2022
78,"Rice, Eggs, Chicken, Butter",23,14,Germany,1/10/2024
208,Carrots,96,11,Australia,9/1/2022
109,"Tomatoes, Bananas, Butter",3,10,Germany,11/12/2023
629,"Tomatoes, Oranges, Onions, Rice, Bread",95,19,Australia,1/5/2021
667,"Tomatoes, Grapes, Cheese, Milk, Rice",73,1,Canada,7/23/2021
670,"Cheese, Potatoes, Bread, Tomatoes",71,17,United Kingdom,9/20/2022
995,"Oranges, Chicken, Butter, Eggs, Bananas",73,11,Germany,5/28/2020
322,Fish,95,6,United Kingdom,7/8/2020
199,Cereal,89,15,Canada,11/11/2020
845,"Cereal, Onions, Milk, Rice, Eggs",840,17,Germany,10/17/2024
669,"Onions, Cheese",27,2,United States,5/17/2020
411,Pasta,26,17,Australia,1/25/2024
17,"Apples, Cereal, Oranges, Beef",63,5,Canada,6/20/2020
909,"Fish, Grapes, Lettuce, Bread",88,17,United States,1/23/2020
216,"Cheese, Bread, Potatoes, Cereal",40,7,Germany,5/21/2023
604,"Milk, Bananas",62,16,United Kingdom,7/30/2021
758,"Lettuce, Chicken, Milk",80,3,United States,8/25/2021
827,"Milk, Bread, Apples, Pasta",98,19,Australia,3/17/2023
190,Eggs,36,7,Australia,5/17/2020
868,"Tomatoes, Cereal, Pasta, Fish, Rice",4,6,United Kingdom,1/8/2022
227,"Eggs, Carrots, Lettuce, Beef",80,7,Germany,6/26/2020
390,"Cheese, Potatoes, Rice, Oranges",31,11,Australia,5/25/2022
564,Bananas,4,18,United States,5/17/2024
793,"Pasta, Oranges, Eggs",20,5,Germany,9/6/2022
700,"Butter, Bananas, Rice, Chicken, Grapes",68,13,United States,12/25/2022
794,"Beef, Chicken, Milk",93,5,Canada,1/13/2023
106,"Grapes, Chicken, Oranges",10,4,United Kingdom,10/1/2022
98,"Tomatoes, Milk, Grapes, Apples, Bananas",21,14,Germany,2/1/2023
450,"Bread, Potatoes, Oranges",45,11,United Kingdom,12/25/2020
588,"Eggs, Tomatoes, Chicken, Potatoes, Onions",28,18,Germany,3/13/2023
357,"Grapes, Lettuce, Bananas, Cheese",54,17,Germany,12/10/2023
865,"Grapes, Potatoes, Bananas",51,17,United States,1/29/2020
774,"Oranges, Cheese, Bread, Lettuce",90,1,Australia,12/11/2023
101,Chicken,89,8,Australia,12/24/2020
729,Fish,14,1,Australia,7/2/2022
822,"Tomatoes, Eggs, Bread, Bananas, Potatoes",67,13,Canada,9/6/2024
945,"Pasta, Cheese",17,17,United States,4/6/2022
754,"Fish, Cheese, Beef",51,13,Germany,4/7/2024
162,"Bananas, Butter, Pasta, Cereal, Carrots",3,1,Canada,3/5/2023
501,"Onions, Eggs",23,17,United States,6/21/2023
922,"Apples, Cheese, Pasta, Beef, Tomatoes",80,10,Australia,6/13/2021
913,"Oranges, Cereal, Lettuce, Bananas, Rice",61,19,United States,6/13/2023
743,"Pasta, Fish, Eggs, Carrots, Tomatoes",75,17,Australia,9/20/2022
426,"Beef, Milk, Bread, Pasta",34,9,United States,12/6/2022
422,"Oranges, Bananas, Pasta, Butter, Chicken",42,18,Germany,11/3/2023
812,Pasta,70,2,Canada,7/13/2022
139,"Fish, Cereal, Rice, Lettuce, Potatoes",93,8,United Kingdom,3/25/2022
391,"Cereal, Butter, Oranges, Bread, Grapes",62,6,Australia,2/19/2022
392,Carrots,11,11,Germany,2/19/2020
541,"Milk, Oranges, Tomatoes",99,13,United Kingdom,1/1/2020
513,"Eggs, Bread",18,4,Australia,6/24/2021
548,"Bread, Potatoes, Chicken, Cereal, Lettuce",91,10,United States,11/22/2022
961,"Fish, Grapes",89,20,Canada,5/6/2023
609,"Rice, Eggs, Bread, Apples",75,7,Germany,6/9/2022
563,Butter,86,17,United States,3/1/2021
40,"Bananas, Cereal, Milk, Cheese",33,12,United Kingdom,1/5/2023
468,"Lettuce, Chicken, Apples",52,11,Canada,7/28/2021
236,"Cheese, Grapes, Cereal, Beef",3,17,United Kingdom,11/16/2022
344,Apples,87,5,Canada,12/26/2021
819,"Oranges, Eggs, Milk",90,12,United States,3/26/2020
630,"Apples, Grapes, Tomatoes",43,13,Canada,10/22/2021
849,"Bananas, Onions, Cereal, Eggs, Chicken",84,12,Germany,5/21/2022
768,"Oranges, Onions",72,9,Australia,8/12/2023
222,"Onions, Fish, Chicken",35,7,Australia,1/1/2023
589,Onions,10,13,Australia,12/10/2020
277,Beef,26,6,United Kingdom,12/18/2021
328,"Lettuce, Beef",97,9,United Kingdom,4/27/2024
891,Milk,22,14,United States,7/22/2023
849,"Butter, Bananas, Onions, Pasta",99,20,United Kingdom,5/20/2021
101,"Potatoes, Tomatoes, Grapes, Rice",11,6,Germany,3/22/2021
511,"Cereal, Pasta",11,16,United States,1/20/2023
898,"Grapes, Potatoes",82,6,Germany,7/17/2024
11,"Carrots, Pasta, Milk",15,10,United Kingdom,5/11/2023
629,"Fish, Cereal",17,5,Germany,4/13/2023
748,Milk,37,11,United States,5/18/2020
587,"Grapes, Carrots, Cereal, Onions",49,4,Canada,3/16/2022
301,"Carrots, Cheese, Rice",55,13,United Kingdom,2/12/2023
955,"Onions, Bread",11,5,United Kingdom,5/5/2024
469,"Pasta, Apples, Carrots, Beef, Grapes",67,10,United States,12/26/2023
540,"Eggs, Chicken, Oranges, Potatoes",84,19,Germany,9/15/2021
612,"Milk, Lettuce, Butter, Fish, Onions",81,18,United Kingdom,3/1/2023
924,"Cereal, Bananas, Tomatoes",61,9,Germany,4/20/2023
25,Cereal,96,5,United Kingdom,12/22/2023
166,"Oranges, Carrots, Lettuce, Apples, Eggs",56,11,Australia,7/17/2022
822,"Apples, Fish, Tomatoes",85,14,Australia,2/19/2024
830,"Cheese, Rice",46,7,Canada,7/12/2023
616,"Potatoes, Onions, Oranges, Carrots",27,20,Germany,11/30/2024
117,"Lettuce, Fish, Potatoes, Tomatoes",67,19,United Kingdom,6/15/2024
852,"Carrots, Tomatoes, Lettuce, Butter, Oranges",43,3,Germany,6/13/2023
787,"Carrots, Tomatoes, Beef, Eggs",36,15,Canada,6/17/2020
876,"Bread, Carrots, Eggs",41,6,United Kingdom,1/1/2021
435,"Carrots, Butter, Chicken",15,19,Australia,8/23/2022
8,"Pasta, Rice, Eggs",16,9,United States,3/2/2023
304,"Cereal, Bananas, Apples, Chicken, Grapes",45,16,Canada,11/21/2024
23,Bananas,21,15,United Kingdom,8/26/2021
442,"Pasta, Bread, Chicken",89,9,United Kingdom,1/31/2020
959,"Cereal, Butter, Oranges, Bread, Rice",1,17,Germany,3/10/2024
756,"Tomatoes, Potatoes, Oranges, Apples, Grapes",3,17,United Kingdom,1/24/2021
508,"Apples, Fish, Eggs, Beef",74,3,Canada,5/26/2021
160,"Apples, Butter",94,19,United States,5/13/2020
86,Milk,52,6,Germany,3/24/2020
225,"Lettuce, Potatoes",98,11,Australia,5/30/2024
864,"Cheese, Milk",59,1,Canada,3/30/2021
497,"Lettuce, Butter, Rice",26,3,United Kingdom,9/29/2020
690,"Beef, Cheese, Onions, Bananas, Oranges",55,13,United States,5/9/2021
471,"Oranges, Cheese",79,2,United Kingdom,6/6/2023
709,"Rice, Potatoes",75,6,Germany,5/21/2024
696,"Lettuce, Apples",4,5,Canada,8/25/2020
921,"Cereal, Chicken, Butter, Rice, Lettuce",30,10,Canada,10/31/2024
983,"Onions, Pasta, Apples, Carrots, Milk",80,16,Canada,2/19/2020
906,Milk,7,7,Germany,11/23/2020
818,"Rice, Beef, Lettuce, Grapes",84,2,United States,12/31/2020
773,"Rice, Eggs, Cheese, Fish",97,15,United States,10/15/2023
599,"Lettuce, Bananas, Eggs, Bread",61,14,Canada,7/16/2021
152,"Bananas, Fish, Pasta, Beef",22,12,Canada,7/27/2020
780,"Grapes, Fish, Cheese, Milk, Butter",1,4,United States,10/28/2021
386,"Potatoes, Onions",77,17,Australia,3/18/2022
90,"Cheese, Cereal, Onions",8,8,United Kingdom,12/6/2020
870,"Potatoes, Lettuce, Butter",68,3,Germany,2/20/2020
255,"Cheese, Cereal, Grapes",32,6,Australia,12/17/2021
916,"Milk, Eggs, Oranges, Cereal, Apples",84,17,United Kingdom,12/7/2023
326,"Cereal, Milk",75,12,Canada,5/2/2021
644,"Cereal, Onions, Beef",99,1,Germany,1/17/2022
990,Grapes,91,4,United Kingdom,7/17/2020
910,"Cereal, Bananas, Milk, Butter",32,14,United States,11/25/2024
176,Tomatoes,10,11,Germany,6/5/2022
442,"Eggs, Cereal",26,11,Australia,9/26/2020
652,Butter,54,3,United Kingdom,9/22/2024
709,"Cereal, Apples",14,9,Germany,9/3/2021
775,Onions,29,1,Canada,6/25/2020
506,"Bread, Potatoes, Carrots",42,1,United Kingdom,12/22/2020
478,Onions,93,11,Germany,4/7/2023
379,"Cereal, Butter, Bananas, Bread, Carrots",95,1,United States,5/17/2024
363,Tomatoes,31,2,United States,6/22/2022
255,"Rice, Grapes, Bread",86,17,United States,1/18/2021
38,"Milk, Lettuce",73,6,United Kingdom,8/21/2024
681,"Lettuce, Oranges, Cereal, Milk, Cheese",20,4,Canada,9/8/2023
52,"Cheese, Fish, Tomatoes",23,5,Australia,9/1/2024
74,"Chicken, Fish, Bread, Grapes, Butter",34,17,Canada,11/4/2021
515,"Oranges, Milk, Tomatoes, Rice",4,15,United Kingdom,9/28/2024
573,"Oranges, Bread, Pasta, Beef, Milk",21,16,Canada,8/8/2022
356,"Cheese, Pasta, Fish, Oranges",12,4,Australia,11/16/2020
85,Fish,13,4,Australia,10/22/2020
818,Potatoes,93,16,United Kingdom,5/10/2020
14,Lettuce,81,19,United States,5/28/2021
347,"Butter, Milk, Onions",73,15,Canada,10/19/2023
528,"Potatoes, Fish, Tomatoes, Eggs",37,18,Canada,11/6/2022
73,"Bread, Tomatoes",91,4,Germany,11/23/2020
380,Rice,94,5,United States,10/2/2023
282,"Cereal, Beef, Fish",61,2,Canada,10/3/2022
570,"Potatoes, Bread",74,4,Australia,5/31/2021
741,"Fish, Carrots",33,16,Germany,4/14/2023
701,"Carrots, Bread, Eggs, Lettuce, Apples",52,18,Germany,3/20/2021
978,"Tomatoes, Bread, Fish",48,14,Canada,1/7/2020
417,Oranges,84,10,United Kingdom,10/9/2020
998,Potatoes,10,16,Germany,6/29/2022
571,Tomatoes,41,5,United Kingdom,6/17/2023
269,"Cereal, Bananas, Milk, Bread, Beef",41,6,Canada,3/18/2020
349,"Bread, Milk, Rice, Chicken, Onions",82,1,Australia,9/22/2021
921,"Eggs, Grapes, Beef, Rice, Onions",63,20,Germany,3/24/2023
616,"Grapes, Carrots, Butter",52,1,Canada,6/23/2024
283,"Bananas, Cereal",29,20,Canada,8/1/2021
751,"Potatoes, Fish",95,11,Canada,9/10/2022
977,"Fish, Milk, Rice",39,12,Germany,5/7/2021
819,"Carrots, Cereal, Beef, Potatoes, Bread",43,12,Australia,12/13/2021
445,"Apples, Bananas, Bread",4,20,United Kingdom,8/31/2021
933,"Grapes, Lettuce, Cheese, Apples, Eggs",50,20,United Kingdom,4/10/2024
394,"Bananas, Cheese, Butter",64,9,Germany,1/10/2023
616,"Eggs, Onions, Chicken, Butter",62,20,Germany,9/15/2021
978,"Bread, Rice, Butter",83,14,Australia,1/14/2020
68,Tomatoes,0,8,United Kingdom,6/28/2021
501,"Chicken, Cereal",73,6,United Kingdom,8/13/2022
399,"Carrots, Fish, Rice",70,2,Canada,7/29/2020
269,"Carrots, Lettuce, Tomatoes, Rice",48,6,Australia,9/12/2024
357,"Carrots, Apples, Pasta",14,14,Germany,11/14/2023
60,"Onions, Chicken",86,4,Germany,6/27/2021
106,Milk,56,14,Canada,12/23/2021
801,Carrots,,,Australia,1/2/2021
261,"Cheese, Potatoes, Pasta, Chicken",99,17,Australia,8/19/2021
932,Butter,44,18,Canada,5/7/2022
167,"Pasta, Bread, Grapes, Butter, Cereal",69,10,United States,10/14/2020
819,"Butter, Cereal",43,1,United States,7/7/2020
534,"Pasta, Beef",81,18,United Kingdom,6/24/2023
493,Milk,34,14,Canada,10/23/2022
809,Rice,78,5,United Kingdom,8/27/2021
550,"Fish, Beef, Lettuce",42,4,United Kingdom,4/5/2023
670,"Grapes, Eggs, Chicken, Pasta",5,3,Australia,2/18/2022
135,"Lettuce, Beef, Chicken",93,7,Australia,5/14/2023
110,"Potatoes, Cereal",29,7,Australia,6/6/2023
111,Fish,89,2,United States,1/22/2020
87,"Bread, Apples",85,10,Germany,10/26/2022
261,"Carrots, Potatoes, Fish, Rice",13,19,Germany,11/5/2022
134,"Tomatoes, Bananas, Milk, Chicken, Butter",19,3,Canada,6/9/2023
826,"Carrots, Butter",68,11,Canada,5/5/2020
272,"Grapes, Potatoes",12,14,Canada,3/4/2021
112,"Cheese, Butter, Milk, Fish, Potatoes",48,16,Australia,10/24/2020
895,"Cereal, Fish, Butter, Apples, Bananas",46,9,United States,5/20/2023
654,Carrots,30,16,Canada,8/27/2024
969,"Rice, Pasta, Bananas",42,11,Germany,3/3/2021
986,"Potatoes, Butter",20,3,United Kingdom,3/19/2023
45,"Fish, Bananas, Butter, Carrots",86,20,United States,2/24/2020
503,Apples,97,20,Canada,8/26/2022
106,"Cheese, Tomatoes, Beef, Oranges",100,12,Australia,7/19/2020
475,Beef,85,5,Canada,12/6/2024
691,"Grapes, Bananas, Carrots, Milk",,,Australia,10/7/2024
720,"Bread, Tomatoes, Eggs, Fish",88,6,Germany,10/27/2023
547,"Grapes, Beef, Tomatoes, Rice, Carrots",53,19,United States,7/12/2022
371,"Milk, Butter, Oranges, Cereal, Apples",69,19,Australia,1/10/2020
382,"Apples, Rice, Pasta",49,14,Australia,8/8/2020
442,"Pasta, Grapes, Butter, Potatoes",52,10,Australia,6/20/2021
979,"Cereal, Bananas, Bread, Grapes, Potatoes",55,8,United States,12/10/2022
500,"Pasta, Bananas",52,2,Germany,7/30/2021
719,"Butter, Bananas",86,15,Australia,10/24/2021
666,Milk,56,19,Canada,8/27/2022
746,"Apples, Carrots",51,10,Canada,1/29/2020
587,"Rice, Oranges, Cheese, Beef",86,20,United Kingdom,10/5/2023
487,"Grapes, Bananas, Chicken",65,15,United States,8/25/2023
551,"Cheese, Bread",68,1,United Kingdom,7/14/2020
160,"Potatoes, Lettuce",74,4,United Kingdom,4/3/2020
648,"Oranges, Tomatoes",91,7,Germany,7/5/2023
772,"Milk, Beef, Fish, Chicken, Oranges",28,1,Germany,6/13/2021
631,"Butter, Cheese, Bread, Bananas, Carrots",16,9,Germany,9/6/2021
324,"Butter, Apples, Fish",47,3,Canada,3/13/2020
582,"Milk, Grapes, Rice",88,18,United States,2/15/2021
392,"Butter, Cereal",26,11,Germany,9/25/2021
567,"Milk, Tomatoes, Apples",83,19,Canada,11/3/2021
975,"Chicken, Bananas, Rice, Cereal, Milk",13,12,United Kingdom,12/6/2020
919,Potatoes,62,15,Australia,10/7/2020
500,"Bananas, Potatoes",45,5,United States,2/18/2021
340,"Oranges, Potatoes, Cheese, Milk, Eggs",22,5,Australia,11/24/2023
400,"Chicken, Oranges",88,17,United States,10/5/2020
842,"Cereal, Onions, Eggs",86,14,Germany,2/4/2022
917,"Grapes, Pasta, Fish",66,4,United States,8/3/2020
711,Beef,14,19,United States,6/3/2022
5,"Oranges, Chicken",35,19,Australia,3/19/2024
258,"Apples, Rice, Bananas, Cheese, Pasta",42,8,United States,7/15/2021
519,"Fish, Carrots, Grapes, Onions",98,7,United Kingdom,6/5/2024
966,"Cereal, Bread, Milk, Onions",27,7,United States,11/9/2022
662,"Eggs, Pasta, Potatoes, Cheese",37,7,United States,2/10/2021
925,"Potatoes, Fish",69,2,United States,11/3/2020
978,"Butter, Apples",8,1,United Kingdom,11/2/2023
781,"Oranges, Chicken, Milk",16,16,United States,9/9/2020
460,"Cheese, Bread",93,16,Germany,12/30/2021
443,"Bananas, Chicken, Fish, Onions",35,6,United Kingdom,11/6/2021
56,"Pasta, Onions, Oranges, Chicken, Rice",61,15,Germany,10/7/2021
231,Lettuce,38,18,Germany,11/15/2021
112,Chicken,39,14,Australia,10/24/2020
339,"Carrots, Pasta, Cheese",18,6,Germany,3/17/2020
466,"Cereal, Oranges, Grapes, Beef, Apples",48,2,United Kingdom,11/29/2022
545,"Pasta, Apples",73,10,United Kingdom,5/28/2023
75,"Bread, Tomatoes, Carrots, Grapes, Eggs",43,13,Australia,1/14/2024
866,"Bread, Oranges",85,9,Canada,5/1/2023
169,"Fish, Oranges, Cheese",79,7,Canada,7/21/2023
374,"Beef, Apples, Carrots, Butter",91,16,United Kingdom,9/9/2021
813,"Rice, Fish",67,7,Germany,3/27/2024
21,"Grapes, Chicken, Eggs, Lettuce",74,7,United Kingdom,1/13/2023
750,"Fish, Beef, Tomatoes",77,10,Australia,9/1/2021
641,"Apples, Eggs, Rice, Beef",57,2,Canada,12/7/2023
814,"Pasta, Milk, Bread",65,8,Canada,8/26/2020
142,"Tomatoes, Eggs",5,18,United Kingdom,7/7/2024
874,"Bread, Carrots, Lettuce, Potatoes, Cereal",50,5,United Kingdom,12/20/2023
507,"Potatoes, Fish, Pasta, Lettuce, Cheese",88,10,Canada,2/19/2020
219,"Milk, Rice, Cereal, Butter",54,18,United States,6/15/2022
38,"Lettuce, Onions, Oranges, Grapes",16,6,Canada,10/15/2022
366,"Cheese, Carrots",31,17,Australia,7/17/2024
617,"Fish, Potatoes, Onions, Pasta",90,15,United States,7/17/2022
608,"Bread, Eggs, Apples, Cheese",99,17,Australia,9/2/2024
858,"Rice, Lettuce, Beef",94,11,Australia,1/31/2021
762,"Grapes, Rice",97,13,Australia,3/12/2021
627,"Butter, Bread, Milk, Fish",46,19,Canada,11/15/2021
843,"Onions, Oranges, Beef",76,16,Germany,4/11/2023
296,"Milk, Beef",28,6,Germany,8/24/2022
951,"Lettuce, Onions",96,14,Germany,3/13/2020
237,"Potatoes, Bananas, Oranges, Chicken, Lettuce",76,6,United States,4/5/2022
771,"Potatoes, Milk, Pasta, Oranges, Carrots",30,5,United States,7/22/2021
257,"Rice, Bananas, Cereal, Lettuce, Milk",36,5,United Kingdom,1/6/2023
461,"Pasta, Bananas, Tomatoes",54,19,Australia,4/10/2020
113,Bananas,61,10,Germany,11/17/2024
420,Butter,61,4,Canada,9/2/2022
185,"Eggs, Bread, Cereal",91,18,United States,8/20/2020
33,"Eggs, Butter, Bananas, Bread",66,3,Canada,12/23/2023
554,"Cheese, Potatoes",49,14,Australia,9/12/2021
827,"Bread, Potatoes, Oranges, Beef",80,6,Germany,10/15/2022
117,"Bananas, Butter, Oranges, Onions, Rice",89,6,Germany,4/19/2020
297,"Carrots, Bread, Tomatoes, Apples, Eggs",98,8,United Kingdom,7/3/2022
539,"Eggs, Cheese, Beef, Rice",47,11,Germany,7/22/2023
463,"Pasta, Rice",13,6,United Kingdom,9/3/2022
956,Lettuce,51,5,United Kingdom,2/17/2024
348,"Onions, Bananas, Cheese",80,17,United States,1/29/2022
390,Pasta,0,19,Australia,9/27/2023
468,"Apples, Oranges",97,16,United States,3/13/2022
674,"Chicken, Butter, Eggs, Fish, Bananas",89,8,Canada,5/3/2022
814,Bread,34,14,Australia,3/27/2023
973,"Bread, Cheese, Carrots, Eggs",41,19,Canada,9/10/2020
674,"Onions, Apples, Milk, Cereal",63,14,United Kingdom,9/5/2023
736,"Onions, Carrots",75,10,United Kingdom,8/20/2024
548,"Bananas, Carrots",68,1,Canada,7/21/2022
68,"Fish, Tomatoes, Cheese",56,3,Canada,7/4/2020
739,"Fish, Oranges",39,12,Australia,4/14/2020
481,"Carrots, Bread, Apples",43,12,Australia,11/14/2023
708,"Chicken, Beef, Cheese, Pasta, Tomatoes",82,19,Germany,7/29/2023
666,"Fish, Bread, Cheese, Lettuce, Apples",52,2,Germany,10/30/2023
994,"Potatoes, Pasta, Chicken, Tomatoes",81,20,Canada,5/15/2022
282,"Tomatoes, Apples, Onions",88,20,Australia,4/3/2023
880,Pasta,81,3,Australia,5/22/2022
569,"Pasta, Cereal, Fish, Butter",37,13,Canada,8/6/2021
942,"Chicken, Potatoes, Pasta, Cereal",98,16,United States,11/21/2022
639,Bananas,57,7,United States,5/17/2020
527,"Grapes, Cereal, Butter, Tomatoes",82,4,Germany,5/31/2023
934,"Cereal, Cheese, Chicken",34,18,United Kingdom,10/30/2023
447,"Rice, Apples, Milk, Cheese, Carrots",89,16,Germany,3/28/2024
945,"Apples, Potatoes, Cheese, Beef",91,14,Canada,9/29/2021
778,"Bread, Beef, Rice",26,10,Germany,6/2/2023
544,"Eggs, Beef, Rice, Tomatoes, Fish",52,13,United States,7/22/2020
130,Rice,32,6,United Kingdom,4/16/2021
698,"Tomatoes, Pasta",34,14,Germany,5/5/2024
53,"Cheese, Tomatoes",68,2,United States,11/5/2021
115,"Onions, Chicken, Rice, Fish",24,3,United States,4/24/2024
411,"Butter, Fish",13,4,Canada,12/7/2024
617,Apples,43,1,United Kingdom,1/2/2020
475,"Pasta, Bread, Tomatoes",55,18,United Kingdom,3/4/2020
946,"Lettuce, Pasta, Milk, Chicken",27,2,United States,11/19/2021
712,"Butter, Fish, Bananas",52,2,United Kingdom,10/24/2021
800,"Butter, Grapes",91,12,Canada,10/22/2023
587,"Oranges, Pasta, Butter, Rice",29,8,United States,12/31/2023
250,Chicken,98,9,Germany,12/6/2023
489,Grapes,20,11,Australia,9/24/2023
410,"Bread, Cheese, Rice",30,13,United Kingdom,5/22/2021
26,"Carrots, Beef, Apples, Bread",67,6,United States,7/7/2020
465,Eggs,43,15,United Kingdom,4/19/2022
599,"Bananas, Chicken, Potatoes",39,2,Canada,9/19/2022
12,Oranges,,,Australia,6/14/2023
523,"Pasta, Potatoes, Oranges, Bananas",89,9,Australia,10/29/2024
991,"Potatoes, Butter, Fish",880,4,Canada,10/3/2021
449,"Onions, Potatoes, Fish",3,3,United States,2/3/2022
728,Tomatoes,63,19,Canada,8/22/2020
489,"Milk, Cheese, Pasta",36,8,Canada,10/9/2023
44,"Eggs, Apples, Rice",48,19,United States,12/3/2024
270,Cheese,22,20,Canada,3/11/2021
920,"Bananas, Apples, Cereal",89,15,Canada,3/15/2023
181,Oranges,44,3,Germany,10/18/2021
800,Fish,36,14,Australia,4/4/2021
847,"Bread, Cheese, Oranges, Beef, Fish",4,11,United States,3/16/2021
987,Bananas,67,14,Australia,3/2/2024
636,"Lettuce, Eggs",40,20,United Kingdom,2/8/2020
810,"Carrots, Fish",4,9,Germany,8/11/2021
244,"Beef, Tomatoes, Cereal, Bananas, Apples",46,15,United Kingdom,2/24/2024
542,"Rice, Tomatoes, Cereal",97,1,United States,8/10/2022
630,"Pasta, Cereal",78,17,Germany,2/17/2020
148,"Carrots, Pasta",63,16,Canada,4/25/2023
704,"Grapes, Pasta, Milk, Chicken",71,16,Germany,4/29/2022
924,"Oranges, Butter, Bananas",7,19,United States,10/6/2022
906,"Bananas, Pasta",80,8,Australia,2/29/2024
944,"Pasta, Beef, Oranges, Cereal, Apples",76,7,Australia,8/25/2021
350,"Bananas, Apples, Butter, Carrots, Fish",65,10,Canada,7/14/2023
136,Cheese,70,4,Canada,5/24/2020
607,"Lettuce, Cereal, Onions, Pasta, Chicken",33,19,Australia,1/16/2022
781,"Milk, Cheese, Chicken, Apples, Bread",32,14,United States,12/14/2021
28,"Fish, Oranges, Lettuce, Tomatoes, Bananas",31,8,United States,5/12/2023
667,"Fish, Cheese, Eggs",22,17,Germany,9/7/2021
943,"Grapes, Beef",39,15,Germany,11/14/2024
770,"Beef, Pasta, Butter",65,3,Germany,6/20/2020
